snapshot_ts,parent_event_id,fomc_decision_date,market_type,is_sparse_ctf,days_to_next_fomc,expected_bps,p_no_change,margin_over_second,n_brackets,modal_prob,modal_outcome_bps,modal_direction,distance_from_uniform
2022-07-28,901490,2022-09-21,FPMM,False,55,50.000624,0.0,,4,0.961912,50.0,hike,0.711912
2022-07-29,901490,2022-09-21,FPMM,False,54,58.075912,0.0,0.499606,4,0.734031,50.0,hike,0.484031
2022-07-30,901490,2022-09-21,FPMM,False,53,55.827323,0.0,0.386809,4,0.732741,50.0,hike,0.482741
2022-07-31,901490,2022-09-21,FPMM,False,52,56.421653,0.0,0.387107,4,0.732741,50.0,hike,0.482741
2022-08-01,901490,2022-09-21,FPMM,False,51,56.597636,0.0,0.320473,4,0.732741,50.0,hike,0.482741
2022-08-02,901490,2022-09-21,FPMM,False,50,56.314474,0.0,0.297399,4,0.681556,50.0,hike,0.431556
2022-08-03,901490,2022-09-21,FPMM,False,49,56.359654,0.0,0.318117,4,0.659061,50.0,hike,0.409061
2022-08-04,901490,2022-09-21,FPMM,False,48,56.87732,0.0,0.340364,4,0.71159,50.0,hike,0.46159
2022-08-05,901490,2022-09-21,FPMM,False,47,57.778622,0.0,0.349986,4,0.71159,50.0,hike,0.46159
2022-08-06,901490,2022-09-21,FPMM,False,46,60.393221,0.0,0.022458,4,0.483206,50.0,hike,0.233206
2022-08-07,901490,2022-09-21,FPMM,False,45,63.49847,0.0,0.026009,4,0.498067,50.0,hike,0.248067
2022-08-08,901490,2022-09-21,FPMM,False,44,64.23622,0.0,0.039892,4,0.54265,75.0,hike,0.29265
2022-08-09,901490,2022-09-21,FPMM,False,43,64.08838,0.0,0.18081,4,0.603638,75.0,hike,0.353638
2022-08-10,901490,2022-09-21,FPMM,False,42,64.761255,0.0,0.217589,4,0.603022,75.0,hike,0.353022
2022-08-11,901490,2022-09-21,FPMM,False,41,58.555189,0.0,0.174482,4,0.637047,50.0,hike,0.387047
2022-08-12,901490,2022-09-21,FPMM,False,40,58.79794,0.0,0.199467,4,0.597838,50.0,hike,0.347838
2022-08-13,901490,2022-09-21,FPMM,False,39,59.728644,0.0,0.186796,4,0.597838,50.0,hike,0.347838
2022-08-14,901490,2022-09-21,FPMM,False,38,61.324519,0.0,0.117986,4,0.578005,50.0,hike,0.328005
2022-08-15,901490,2022-09-21,FPMM,False,37,60.983136,0.0,0.154479,4,0.590583,50.0,hike,0.340583
2022-08-16,901490,2022-09-21,FPMM,False,36,60.560082,0.0,0.162102,4,0.586005,50.0,hike,0.336005
2022-08-17,901490,2022-09-21,FPMM,False,35,60.885319,0.0,0.123944,4,0.561514,50.0,hike,0.311514
2022-08-18,901490,2022-09-21,FPMM,False,34,60.153245,0.0,0.186392,4,0.596216,50.0,hike,0.346216
2022-08-19,901490,2022-09-21,FPMM,False,33,61.686728,0.0,0.142938,4,0.574013,50.0,hike,0.324013
2022-08-20,901490,2022-09-21,FPMM,False,32,60.706768,0.0,0.157623,4,0.590378,50.0,hike,0.340378
2022-08-21,901490,2022-09-21,FPMM,False,31,61.120028,0.0,0.125304,4,0.541304,50.0,hike,0.291304
2022-08-22,901490,2022-09-21,FPMM,False,30,61.143325,0.0,0.12322,4,0.541304,50.0,hike,0.291304
2022-08-23,901490,2022-09-21,FPMM,False,29,61.731779,0.0,0.057257,4,0.568134,50.0,hike,0.318134
2022-08-24,901490,2022-09-21,FPMM,False,28,61.848279,0.0,0.047702,4,0.517085,50.0,hike,0.267085
2022-08-25,901490,2022-09-21,FPMM,False,27,61.930235,0.0,0.041254,4,0.54411,50.0,hike,0.29411
2022-08-26,901490,2022-09-21,FPMM,False,26,64.92934,0.0,0.064592,4,0.547159,75.0,hike,0.297159
2022-08-27,901490,2022-09-21,FPMM,False,25,62.393909,0.0,0.035302,4,0.484578,50.0,hike,0.234578
2022-08-28,901490,2022-09-21,FPMM,False,24,63.00385,0.0,0.064576,4,0.531121,50.0,hike,0.281121
2022-08-29,901490,2022-09-21,FPMM,False,23,63.048153,0.0,0.060861,4,0.531121,50.0,hike,0.281121
2022-08-30,901490,2022-09-21,FPMM,False,22,64.543559,0.0,0.134775,4,0.59586,75.0,hike,0.34586
2022-08-31,901490,2022-09-21,FPMM,False,21,64.426116,0.0,0.123994,4,0.568182,75.0,hike,0.318182
2022-09-01,901490,2022-09-21,FPMM,False,20,65.742421,0.0,0.229413,4,0.618917,75.0,hike,0.368917
2022-09-02,901490,2022-09-21,FPMM,False,19,68.637827,0.0,0.403887,4,0.730281,75.0,hike,0.480281
2022-09-03,901490,2022-09-21,FPMM,False,18,65.654539,0.0,0.1641,4,0.596507,75.0,hike,0.346507
2022-09-04,901490,2022-09-21,FPMM,False,17,64.591926,0.0,0.135247,4,0.574698,75.0,hike,0.324698
2022-09-05,901490,2022-09-21,FPMM,False,16,64.679141,0.0,0.142068,4,0.574698,75.0,hike,0.324698
2022-09-06,901490,2022-09-21,FPMM,False,15,65.293949,0.0,0.191924,4,0.611989,75.0,hike,0.361989
2022-09-07,901490,2022-09-21,FPMM,False,14,66.155541,0.0,0.26122,4,0.655471,75.0,hike,0.405471
2022-09-08,901490,2022-09-21,FPMM,False,13,66.798288,0.0,0.31174,4,0.670803,75.0,hike,0.420803
2022-09-09,901490,2022-09-21,FPMM,False,12,68.238563,0.0,0.426959,4,0.728494,75.0,hike,0.478494
