time,open,high,low,close,Volume
1448841600,1063.748,1067.913,1062.149,1066.212,
1448928000,1066.212,1081.955,1063.776,1081.955,
1449014400,1081.955,1093.775,1081.955,1085.478,
1449100800,1085.478,1085.478,1077.574,1082.863,
1449187200,1082.863,1082.863,1073.936,1075.4919,
1449446400,1075.4919,1082.653,1075.4919,1077.334,
1449532800,1077.334,1077.334,1072.427,1074.187,
1449619200,1074.187,1074.292,1070.026,1071.8409,
1449705600,1071.8409,1071.8409,1056.181,1060.725,
1449792000,1060.725,1060.725,1052.376,1054.739,
1450051200,1054.739,1054.739,1042.046,1043.139,
1450137600,1043.139,1046.019,1040.4969,1043.618,
1450224000,1043.618,1057.058,1043.618,1054.379,
1450310400,1054.379,1063.423,1054.379,1063.423,
1450396800,1063.423,1068.954,1058.615,1068.786,
1450656000,1068.786,1068.786,1061.202,1062.635,
1450742400,1062.635,1062.896,1058.327,1059.1949,
1450828800,1059.1949,1063.618,1058.599,1062.5389,
1450915200,1062.5389,1067.446,1061.254,1066.774,
1451260800,1066.774,1070.912,1064.559,1065.908,
1451347200,1065.908,1071.3101,1065.248,1071.3101,
1451433600,1071.3101,1073.729,1068.142,1070.439,
1451520000,1070.439,1075.283,1068.916,1068.916,
1451865600,1068.916,1071.411,1061.744,1064.298,
1451952000,1064.298,1073.682,1064.298,1071.379,
1452038400,1071.379,1076.072,1068.057,1071.317,
1452124800,1071.317,1071.317,1050.265,1053.183,
1452211200,1053.183,1054.402,1047.849,1052.342,
1452470400,1052.342,1052.342,1036.864,1037.918,
1452556800,1037.918,1044.6121,1037.918,1041.144,
1452643200,1041.144,1044.9139,1039.137,1044.9139,
1452729600,1044.9139,1044.9139,1032.781,1034.02,
1452816000,1034.02,1040.254,1034.02,1036.3621,
1453075200,1036.3621,1036.3621,1026.818,1030.1281,
1453161600,1030.1281,1046.3459,1030.1281,1046.3459,
1453248000,1046.3459,1046.3459,1029.946,1030.756,
1453334400,1030.756,1031.929,1016.862,1018.218,
1453420800,1018.218,1026.688,1016.903,1023.7,
1453680000,1023.7,1035.329,1023.7,1032.4969,
1453766400,1032.4969,1032.4969,1025.386,1028.495,
1453852800,1028.495,1039.578,1028.495,1038.5811,
1453939200,1038.5811,1039.408,1033.755,1038.178,
1454025600,1038.178,1051.459,1034.036,1051.459,
1454284800,1051.459,1054.226,1044.49,1049.967,
1454371200,1049.967,1053.254,1044.432,1052.465,
1454457600,1052.465,1052.465,1038.704,1042.828,
1454544000,1042.828,1054.046,1042.16,1048.007,
1454630400,1048.007,1065.1479,1048.007,1065.1479,
1455062400,1065.1479,1065.1479,1044.7061,1050.677,
1455148800,1050.677,1055.476,1047.066,1049.661,
1455235200,1049.661,1052.214,1044.163,1045.262,
1455494400,1045.262,1065.222,1045.262,1065.222,
1455580800,1065.222,1069.6479,1059.77,1067.572,
1455667200,1067.572,1072.2061,1063.71,1065.8051,
1455753600,1065.8051,1082.0031,1065.8051,1080.766,
1455840000,1080.766,1083.582,1075.696,1080.254,
1456099200,1080.254,1084.8051,1079.524,1081.994,
1456185600,1081.994,1088.708,1081.994,1086.319,
1456272000,1086.319,1091.212,1075.906,1075.906,
1456358400,1075.906,1082.384,1073.328,1077.605,
1456444800,1077.605,1091.017,1077.605,1089.1379,
1456704000,1089.1379,1096.249,1084.788,1096.249,
1456790400,1096.249,1097.317,1088.6169,1093.894,
1456876800,1093.894,1106.691,1093.894,1097.9919,
1456963200,1097.9919,1106.269,1094.032,1097.4659,
1457049600,1097.4659,1113.0699,1097.4659,1113.0699,
1457308800,1113.0699,1113.155,1097.9771,1099.793,
1457395200,1099.793,1100.281,1086.626,1088.0909,
1457481600,1088.0909,1096.002,1088.0909,1094.2531,
1457568000,1094.2531,1101.345,1094.2531,1097.021,
1457654400,1097.021,1101.458,1095.0081,1100.101,
1457913600,1100.101,1105.927,1096.6219,1098.876,
1458000000,1098.876,1098.876,1091.415,1096.9821,
1458086400,1096.9821,1104.431,1095.317,1100.933,
1458172800,1100.933,1110.8669,1100.933,1108.725,
1458259200,1108.725,1115.452,1108.725,1115.452,
1458518400,1115.452,1116.699,1109.328,1112.7791,
1458604800,1112.7791,1117.093,1109.328,1114.637,
1458691200,1114.637,1117.184,1110.328,1113.907,
1458777600,1113.907,1113.907,1105.337,1106.175,
1459123200,1106.175,1108.384,1103.519,1104.199,
1459209600,1104.199,1107.4301,1102.972,1105.578,
1459296000,1105.578,1113.024,1105.578,1111.0291,
1459382400,1111.0291,1111.0291,1101.223,1105.0179,
1459468800,1105.0179,1105.355,1096.556,1100.113,
1459728000,1100.113,1105.677,1098.641,1103.62,
1459814400,1103.62,1105.156,1099.558,1103.754,
1459900800,1103.754,1105.321,1099.615,1103.307,
1459987200,1103.307,1107.694,1099.026,1100.326,
1460073600,1100.326,1106.203,1094.457,1106.203,
1460332800,1106.203,1111.527,1101.484,1106.8459,
1460419200,1106.8459,1112.255,1106.8459,1109.848,
1460505600,1109.848,1118.65,1109.848,1117.228,
1460592000,1117.228,1124.446,1117.228,1120.436,
1460678400,1120.436,1127.179,1120.131,1126.616,
1460937600,1126.616,1127.257,1121.996,1123.673,
1461024000,1123.673,1129.679,1122.108,1129.45,
1461110400,1129.45,1129.8051,1122.866,1124.946,
1461196800,1124.946,1135.933,1124.101,1135.194,
1461283200,1135.194,1135.194,1125.967,1133.614,
1461542400,1133.614,1133.614,1124.748,1129.067,
1461628800,1129.067,1132.1541,1125.582,1131.563,
1461715200,1131.563,1131.563,1123.287,1123.4351,
1461801600,1123.4351,1133.5699,1123.4351,1133.5699,
1461888000,1133.5699,1133.5699,1123.925,1127.5601,
1462233600,1127.5601,1127.5601,1119.228,1121.472,
1462320000,1121.472,1121.472,1103.8,1103.963,
1462406400,1103.963,1106.326,1101.171,1104.472,
1462492800,1104.472,1107.105,1099.074,1104.415,
1462752000,1104.415,1109.0699,1102.1169,1108.851,
1462838400,1108.851,1112.717,1106.42,1109.833,
1462924800,1109.833,1111.028,1103.142,1108.9919,
1463011200,1108.9919,1109.6071,1104.116,1105.708,
1463097600,1105.708,1108.355,1098.948,1100.109,
1463356800,1100.109,1103.649,1096.974,1102.467,
1463443200,1102.467,1109.603,1102.467,1105.743,
1463529600,1105.743,1109.198,1100.155,1109.198,
1463616000,1109.198,1109.198,1088.175,1091.861,
1463702400,1091.861,1097.088,1090.431,1097.088,
1463961600,1097.088,1098.536,1093.6801,1098.325,
1464048000,1098.325,1098.325,1091.074,1095.35,
1464134400,1095.35,1099.167,1094.199,1095.087,
1464220800,1095.087,1100.053,1093.296,1097.405,
1464307200,1097.405,1102.537,1096.224,1100.1331,
1464566400,1100.1331,1103.608,1097.007,1099.3879,
1464652800,1099.3879,1106.637,1099.3879,1101.802,
1464739200,1101.802,1102.45,1098.019,1100.821,
1464825600,1100.821,1102.109,1094.79,1094.79,
1464912000,1094.79,1102.944,1094.79,1102.943,
1465171200,1102.943,1110.134,1102.943,1107.4449,
1465257600,1107.4449,1110.3781,1104.642,1107.764,
1465344000,1107.764,1109.58,1105.354,1109.567,
1465430400,1109.567,1112.879,1107.348,1109.844,
1465516800,1109.844,1110.968,1105.1541,1107.058,
1465776000,1107.058,1107.058,1097.949,1100.306,
1465862400,1100.306,1105.491,1100.014,1100.8979,
1465948800,1100.8979,1103.296,1098.175,1100.171,
1466035200,1100.171,1103.5699,1096.611,1096.611,
1466121600,1096.611,1102.905,1096.611,1099.4399,
1466380800,1099.4399,1105.6479,1099.4399,1104.728,
1466467200,1104.728,1104.884,1097.276,1098.788,
1466553600,1098.788,1105.401,1098.788,1100.257,
1466640000,1100.257,1102.616,1096.123,1096.793,
1466726400,1096.793,1097.8571,1078.545,1088.074,
1466985600,1088.074,1107.076,1085.844,1102.979,
1467072000,1102.979,1126.031,1099.493,1121.8669,
1467158400,1121.8669,1132.911,1120.998,1132.911,
1467244800,1132.911,1145.468,1132.911,1136.568,
1467331200,1136.568,1145.295,1136.568,1141.99,
1467590400,1141.99,1157.611,1141.99,1157.099,
1467676800,1157.099,1158.405,1146.147,1151.3361,
1467849600,1151.3361,1159.405,1151.3361,1159.405,
1467936000,1159.405,1159.405,1150.5081,1152.597,
1468195200,1152.597,1161.453,1152.597,1157.199,
1468281600,1157.199,1168.176,1156.863,1168.115,
1468368000,1168.115,1168.995,1161.702,1165.6801,
1468454400,1165.6801,1166.885,1160.939,1162.566,
1468540800,1162.566,1168.073,1162.566,1167.132,
1468800000,1167.132,1174.549,1167.132,1173.9399,
1468886400,1173.9399,1174.47,1163.691,1168.199,
1468972800,1168.199,1171.175,1163.344,1171.175,
1469059200,1171.175,1175.019,1169.108,1175.019,
1469145600,1175.019,1175.019,1165.432,1167.417,
1469404800,1167.417,1168.541,1156.1021,1159.493,
1469491200,1159.493,1172.926,1156.606,1172.926,
1469577600,1172.926,1172.926,1164.5129,1170.015,
1469664000,1170.015,1171.528,1165.749,1169.7371,
1469750400,1169.7371,1170.651,1159.361,1161.757,
1470009600,1161.757,1167.964,1161.1801,1166.296,
1470096000,1166.296,1166.296,1154.464,1157.579,
1470182400,1157.579,1157.579,1148.429,1154.7889,
1470268800,1154.7889,1158.0699,1150.377,1158.0699,
1470355200,1158.0699,1158.0699,1151.986,1157.668,
1470614400,1157.668,1164.209,1157.571,1161.88,
1470787200,1161.88,1169.016,1161.88,1167.6169,
1470873600,1167.6169,1167.6169,1161.1591,1165.358,
1470960000,1165.358,1165.8149,1159.412,1163.981,
1471219200,1163.981,1168.287,1160.525,1162.468,
1471305600,1162.468,1167.803,1161.5601,1165.515,
1471392000,1165.515,1171.871,1164.366,1169.155,
1471478400,1169.155,1169.8929,1164.384,1166.978,
1471564800,1166.978,1172.7419,1165.619,1172.583,
1471824000,1172.583,1172.583,1161.851,1165.358,
1471910400,1165.358,1169.701,1165.179,1169.194,
1471996800,1169.194,1177.603,1166.375,1175.428,
1472083200,1175.428,1175.4301,1169.8979,1174.6639,
1472169600,1174.6639,1174.6639,1166.921,1169.478,
1472428800,1169.478,1169.478,1156.571,1160.541,
1472515200,1160.541,1165.606,1158.854,1163.995,
1472601600,1163.995,1166.6479,1160.2581,1166.161,
1472688000,1166.161,1171.425,1165.51,1168.006,
1472774400,1168.006,1171.026,1164.715,1168.489,
1473033600,1168.489,1180.903,1168.489,1178.665,
1473120000,1178.665,1189.73,1178.665,1189.566,
1473206400,1189.566,1194.573,1186.646,1190.244,
1473292800,1190.244,1192.165,1187.8719,1191.299,
1473379200,1191.299,1191.299,1182.2841,1183.5291,
1473724800,1183.5291,1183.5291,1162.876,1163.356,
1473811200,1163.356,1163.356,1155.077,1156.573,
1473897600,1156.573,1159.483,1153.223,1157.424,
1473984000,1157.424,1164.38,1157.424,1162.016,
1474243200,1162.016,1163.641,1155.87,1161.208,
1474329600,1161.208,1162.317,1157.246,1162.317,
1474416000,1162.317,1163.431,1158.533,1159.474,
1474502400,1159.474,1171.2729,1159.474,1170.8781,
1474588800,1170.8781,1171.869,1163.734,1171.869,
1474848000,1168.59,1174.847,1168.434,1174.844,
1474934400,1174.837,1177.625,1171.8361,1177.547,
1475020800,1177.545,1182.799,1175.774,1182.799,
1475107200,1182.776,1185.392,1179.442,1185.391,
1475193600,1185.432,1185.432,1174.501,1185.104,
1475452800,1185.09,1188.323,1181.308,1187.33,
1475539200,1187.358,1187.358,1179.376,1185.361,
1475625600,1185.39,1186.202,1180.418,1183.38,
1475712000,1183.35,1186.715,1180.49,1182.686,
1475798400,1182.708,1184.2371,1171.8719,1176.601,
1476057600,1176.574,1177.006,1171.431,1177,
1476144000,1177.037,1178.137,1168.6899,1173.454,
1476230400,1173.437,1173.437,1154.8361,1156.6331,
1476316800,1156.6851,1161.027,1147.21,1161.02,
1476403200,1158.452,1165.8879,1158.452,1165.882,
1476662400,1164.097,1164.5081,1155.6479,1164.058,
1476748800,1161.86,1166.448,1159.019,1165.6429,
1476835200,1169.186,1171.48,1165.653,1171.0291,
1476921600,1172.842,1173.712,1168.96,1172.6071,
1477008000,1173.301,1173.692,1167.865,1170.401,
1477267200,1172.577,1176.358,1169.469,1176.358,
1477353600,1174.088,1177.106,1171.948,1174.0129,
1477440000,1169.474,1170.755,1163.484,1165.2371,
1477526400,1162.377,1166.991,1161.239,1166.989,
1477612800,1163.1639,1163.313,1151.6591,1154.4301,
1477872000,1148.954,1153.141,1145.274,1152.5081,
1477958400,1153.0861,1157.123,1150.264,1150.8719,
1478044800,1147.068,1148.569,1147.068,1148.569,
1478131200,1143.818,1143.818,1137.66,1138.547,
1478217600,1137.175,1137.7061,1123.812,1125.834,
1478476800,1123.609,1130.36,1122.783,1128.2061,
1478563200,1132.103,1139.698,1130.9771,1138.093,
1478649600,1141.679,1142.6591,1123.625,1136.4351,
1478736000,1136.809,1136.809,1128.334,1130.408,
1478822400,1126.3149,1126.6219,1108.257,1109.553,
1479081600,1109.5129,1109.5129,1083.8979,1087.517,
1479168000,1083.25,1092.141,1080.379,1083.2531,
1479254400,1085.125,1094.7271,1082.844,1091.0179,
1479340800,1092.498,1108.869,1092.498,1107.67,
1479427200,1104.735,1110.8361,1101.701,1106.024,
1479686400,1105.254,1105.717,1084.552,1087.124,
1479772800,1094.021,1095.187,1084.899,1084.916,
1479859200,1089.578,1094.797,1087.132,1093.788,
1479945600,1092.6949,1095.504,1086.217,1094.614,
1480032000,1095.109,1103.347,1094.9659,1101.172,
1480291200,1100.8521,1102.658,1096.104,1097.056,
1480377600,1099.089,1102.583,1097.02,1099.9709,
1480464000,1106.2321,1114.087,1103.244,1114.078,
1480550400,1114.7531,1114.7531,1105.7111,1109.009,
1480636800,1110.177,1110.3831,1103.6331,1107.5081,
1480896000,1108.024,1115.793,1107.807,1113.1591,
1480982400,1113.072,1116.293,1110.097,1114.056,
1481068800,1116.259,1118.865,1113.473,1115.8979,
1481155200,1115.382,1124.751,1112.55,1122.678,
1481241600,1122.79,1126.595,1121.537,1124.838,
1481500800,1126.038,1126.038,1114.486,1117.772,
1481587200,1114.741,1119.428,1111.822,1117.021,
1481673600,1118.045,1118.65,1107.225,1108.524,
1481760000,1103.054,1107.205,1097.913,1097.913,
1481846400,1100.533,1105.0356,1099.3422,1099.3422,
1482105600,1098.442,1101.8179,1092.3174,1092.3174,
1482192000,1092.6786,1095.1746,1091.0996,1093.1315,
1482278400,1091.1479,1093.9095,1088.0916,1089.5691,
1482364800,1087.7334,1089.3075,1083.2668,1083.2694,
1482451200,1084.2299,1086.1217,1075.2727,1077.6309,
1482796800,1077.3955,1085.5854,1075.9409,1085.2357,
1482883200,1085.0237,1086.9634,1083.2581,1084.7834,
1482969600,1085.2244,1085.4254,1079.8346,1082.4348,
1483056000,1085.0352,1093.6177,1084.3013,1092.3622,
1483401600,1095.2559,1100.0511,1091.7917,1100.0035,
1483488000,1102.0316,1105.3938,1100.0771,1103.9116,
1483574400,1104.0956,1112.4331,1103.3555,1110.2308,
1483660800,1112.233,1122.6736,1112.233,1121.1425,
1483920000,1121.1718,1122.4497,1117.0674,1119.5193,
1484006400,1119.1282,1131.558,1118.5997,1131.5475,
1484092800,1132.6952,1140.1465,1132.1636,1134.8169,
1484179200,1135.4933,1137.1512,1123.2775,1126.7412,
1484265600,1127.0396,1134.397,1125.8723,1128.707,
1484524800,1127.8691,1128.2605,1123.3688,1124.6799,
1484611200,1123.3116,1129.5062,1122.9871,1129.5049,
1484697600,1129.3354,1131.2642,1126.2841,1128.8763,
1484784000,1128.3582,1130.449,1124.3885,1126.6173,
1484870400,1125.6395,1131.2268,1125.6395,1128.2863,
1485129600,1129.5758,1131.86,1126.3395,1130.1049,
1485216000,1128.097,1128.6071,1121.9808,1125.6184,
1485302400,1126.4185,1127.752,1122.3508,1122.7262,
1485388800,1123.0363,1128.8514,1122.2411,1125.6669,
1485475200,1127.3907,1129.9781,1124.2625,1129.8535,
1485820800,1127.3086,1130.0858,1124.1755,1130.0818,
1485907200,1126.2531,1132.3912,1125.0342,1132.3899,
1485993600,1126.955,1127.0088,1120.2841,1122.9882,
1486080000,1124.8137,1128.7867,1121.799,1127.7401,
1486339200,1128.7649,1131.6333,1127.761,1129.7933,
1486425600,1129.2408,1134.9575,1128.1169,1134.6949,
1486512000,1134.4863,1136.3446,1130.8405,1135.0259,
1486598400,1133.5623,1141.9449,1132.8297,1141.6584,
1486684800,1141.8604,1146.4069,1141.2852,1143.4019,
1486944000,1144.9242,1146.64,1140.6672,1143.3379,
1487030400,1142.0303,1143.8439,1139.0808,1141.6563,
1487116800,1143.5963,1143.5963,1134.9135,1138.2675,
1487203200,1138.8083,1138.8083,1132.3473,1134.6622,
1487289600,1134.9233,1138.5024,1133.624,1137.0516,
1487548800,1135.9841,1136.361,1132.1664,1132.2343,
1487635200,1134.2111,1137.749,1132.1788,1137.7252,
1487721600,1138.9648,1141.4398,1137.3206,1139.2378,
1487808000,1140.0833,1143.2614,1137.3217,1141.3167,
1487894400,1140.1237,1140.7272,1134.4316,1136.5181,
1488153600,1135.0905,1140.373,1133.6514,1136.3923,
1488240000,1133.9872,1140.3585,1133.8387,1140.3585,
1488326400,1139.2427,1143.8403,1138.3209,1141.8579,
1488412800,1142.7686,1142.7686,1134.0851,1137.9471,
1488499200,1135.8038,1138.0219,1130.9884,1136.9189,
1488758400,1136.6823,1136.6823,1130.8542,1135.3612,
1488844800,1132.9644,1133.2574,1128.1241,1130.0247,
1488931200,1130.2996,1131.8484,1127.488,1131.375,
1489017600,1129.2262,1129.4229,1122.9725,1123.7358,
1489104000,1123.6097,1129.2653,1120.7498,1127.8943,
1489363200,1128.9286,1134.5472,1126.3,1133.5247,
1489449600,1133.7354,1135.39,1130.5765,1132.4178,
1489536000,1131.4923,1132.0955,1126.3872,1130.0892,
1489622400,1133.8322,1142.0605,1132.9949,1138.8206,
1489708800,1138.5677,1140.5216,1134.738,1136.8877,
1489968000,1138.5532,1140.9672,1134.8689,1138.4777,
1490054400,1138.2701,1142.5901,1137.645,1139.4771,
1490140800,1138.3286,1140.3857,1135.2601,1136.8306,
1490227200,1138.7419,1142.9839,1138.153,1140.5555,
1490313600,1143.5906,1149.3936,1140.077,1146.9034,
1490572800,1146.5865,1149.5555,1143.6483,1148.5594,
1490659200,1149.9805,1155.7838,1148.3383,1155.7773,
1490745600,1156.2965,1158.0865,1153.2373,1156.4659,
1490832000,1157.4777,1163.748,1156.5558,1160.3342,
1490918400,1162.0612,1164.5923,1160.7277,1162.8837,
1491177600,1165.0887,1168.4901,1162.9099,1165.4063,
1491264000,1167.6685,1172.5526,1166.1832,1170.0317,
1491350400,1170.1384,1172.8433,1167.9353,1171.3073,
1491436800,1170.3602,1171.5208,1165.4174,1168.0311,
1491523200,1168.4139,1172.8513,1164.3049,1172.8475,
1491782400,1172.7249,1173.5529,1168.2372,1168.9784,
1491868800,1170.5616,1174.8181,1169.8944,1172.9771,
1491955200,1170.5685,1176.6436,1168.8628,1175.8118,
1492041600,1174.1405,1179.1385,1173.9758,1177.8918,
1492387200,1176.1053,1176.1053,1171.0762,1173.2869,
1492473600,1175.9825,1180.1234,1173.9225,1177.3767,
1492560000,1177.4943,1183.02,1174.8234,1183.0149,
1492646400,1181.7357,1183.3152,1178.4867,1179.5695,
1492732800,1179.0282,1182.9697,1178.7372,1181.2983,
1492992000,1180.1853,1180.1853,1173.7671,1179.0424,
1493078400,1178.4827,1185.3351,1176.5623,1181.722,
