time,open,high,low,close,Volume
1469667600,0.81,0.82,0.81,0.815,3675200
1469754000,0.815,0.815,0.81,0.81,2437000
1470013200,0.815,0.815,0.81,0.81,1063000
1470099600,0.81,0.815,0.81,0.81,560000
1470186000,0.8,0.805,0.795,0.8,72100
1470272400,0.8,0.8,0.795,0.795,3000
1470358800,0.78,0.795,0.765,0.78,94000
1470618000,0.78,0.78,0.76,0.775,311600
1470790800,0.77,0.77,0.765,0.77,30900
1470877200,0.765,0.77,0.76,0.76,36300
1470963600,0.765,0.765,0.765,0.765,34800
1471222800,0.76,0.765,0.76,0.765,46200
1471309200,0.765,0.77,0.765,0.77,20500
1471395600,0.77,0.77,0.765,0.765,27000
1471568400,0.765,0.765,0.765,0.765,7000
1471827600,0.77,0.77,0.76,0.765,51100
1471914000,0.76,0.76,0.76,0.76,5000
1472000400,0.76,0.76,0.755,0.76,219000
1472086800,0.765,0.765,0.76,0.765,4100
1472173200,0.765,0.77,0.765,0.77,620800
1472432400,0.775,0.79,0.77,0.77,85100
1472605200,0.78,0.78,0.78,0.78,88000
1473728400,0.78,0.79,0.76,0.76,5100
1473901200,0.8,0.8,0.8,0.8,1000
1474592400,0.77,0.77,0.77,0.77,20200
1474851600,0.77,0.77,0.75,0.77,49400
1475197200,0.765,0.765,0.765,0.765,3000
1475456400,0.76,0.76,0.76,0.76,10100
1475629200,0.78,0.78,0.77,0.77,13100
1475715600,0.785,0.785,0.785,0.785,500
1476147600,0.77,0.77,0.765,0.77,133300
1476234000,0.77,0.77,0.77,0.77,28300
1476320400,0.77,0.78,0.77,0.78,103500
1476406800,0.77,0.78,0.765,0.78,57200
1476666000,0.77,0.775,0.77,0.775,8100
1476838800,0.77,0.77,0.77,0.77,10100
1476925200,0.77,0.77,0.765,0.77,19000
1477011600,0.77,0.77,0.77,0.77,9000
1477357200,0.77,0.77,0.725,0.725,22600
1477443600,0.72,0.765,0.72,0.765,200
1477530000,0.76,0.76,0.76,0.76,2900
1477616400,0.765,0.77,0.76,0.76,109300
1477875600,0.73,0.76,0.73,0.74,11100
1477962000,0.765,0.765,0.765,0.765,100
1478134800,0.755,0.755,0.755,0.755,1000
1478221200,0.755,0.765,0.7,0.765,13100
1478653200,0.765,0.765,0.735,0.735,6600
