event_key,parent_event_slug,parent_event_title,parent_series_slug,neg_risk_market_id,group_item_titles,n_markets,n_distinct_conditions,sum_volume,sum_liquidity,min_end_date,max_end_date,any_active,any_not_closed,outcome_market_slugs,top_volume_slug,slug_min,slug_max,id,condition_id,question,slug,outcomes,outcome_prices,volume,liquidity,active,closed,end_date,created_at,_fetched_at
will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,,,,,,1,1,321355.812471,44.889438,2022-07-27 08:00:00+08,2022-07-27 08:00:00+08,true,false,will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,246550,0xcb4180f96da6ebecc518ae5a181dec9dea9b78d38112c66e4b0e5a53194cf197,Will the Fed set interest rates above 2.50% (100 bps or more) after their scheduled July meeting?,will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,"[""Yes"", ""No""]","[""0.000001506755425447196244188766818544717"", ""0.9999984932445745528037558112331815""]",321355.812471,44.889438,true,true,2022-07-27 08:00:00+08,2022-06-16 03:02:37.191+08,2026-02-03 22:24:40.29205
will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,,,,,,1,1,309491.361345,138.681158,2022-07-27 08:00:00+08,2022-07-27 08:00:00+08,true,false,will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,246546,0x9b6fb33000fc1ce2cfea7f7606458fa5de55cfa850f5a18c2bee4b5e97a41fb9,Will the Fed set interest rates above 2.25% (75 bps or more) after their scheduled July meeting?,will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,"[""Yes"", ""No""]","[""0.9999985414696615449647517071240132"", ""0.000001458530338455035248292875986848888""]",309491.361345,138.681158,true,true,2022-07-27 08:00:00+08,2022-06-15 04:39:45.109+08,2026-02-03 22:24:40.29205
will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,,,,,,1,1,72110.205955,80.790663,2022-07-27 08:00:00+08,2022-07-27 08:00:00+08,true,false,will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,246528,0xb373ae00ee4f2b1617ebde91c2f2b7e69c5aa97a23d8a2744699e4f820f6091f,Will the Fed set interest rates above 2.00% (50 bps or more) after their scheduled July meeting?,will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,"[""Yes"", ""No""]","[""0.9999992124698905851921949325976182"", ""0.0000007875301094148078050674023817969789""]",72110.205955,80.790663,true,true,2022-07-27 08:00:00+08,2022-06-10 23:51:41.932+08,2026-02-03 22:24:40.29205
will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,,,,,,1,1,423473.422814,88.398546,2022-09-21 08:00:00+08,2022-09-21 08:00:00+08,true,false,will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,246849,0xb9ba5452e141e2ca056cc1e909d704273eba37dcde4eb70ae86f20a902eb3bef,Will the Fed increase interest rates by 75 bps after their September meeting?,will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,"[""Yes"", ""No""]","[""0.9999987906161821258572216758585779"", ""0.000001209383817874142778324141422059021""]",423473.422814,88.398546,true,true,2022-09-21 08:00:00+08,2022-07-28 05:04:54.351+08,2026-02-03 22:24:40.29205
will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,,,,,,1,1,69236.984713,71.618464,2022-09-21 08:00:00+08,2022-09-21 08:00:00+08,true,false,will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,246850,0xfb88b22e70fabdf91c1020f752ea4da8d278d22ff6bc54058453626bdd513c6d,Will the Fed increase interest rates by 50 bps after their September meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,"[""Yes"", ""No""]","[""0.000000461117824324639690358408345223924"", ""0.9999995388821756753603096415916548""]",69236.984713,71.618464,true,true,2022-09-21 08:00:00+08,2022-07-28 05:25:55.666+08,2026-02-03 22:24:40.29205
will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,,,,,,1,1,25792.204752,43.718379,2022-09-21 08:00:00+08,2022-09-21 08:00:00+08,true,false,will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,246851,0x6bcfad376b0836cdeea187c8578328e17511dd0295f1b6afa0b2fed368a29839,Will the Fed increase interest rates by 100 bps after their September meeting?,will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,"[""Yes"", ""No""]","[""0.0000003893321257514420398514682985193318"", ""0.9999996106678742485579601485317015""]",25792.204752,43.718379,true,true,2022-09-21 08:00:00+08,2022-07-28 07:25:50.673+08,2026-02-03 22:24:40.29205
will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,,,,,,1,1,1331.207661,33.344244,2022-09-21 08:00:00+08,2022-09-21 08:00:00+08,true,false,will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,246853,0x8137d425a84134010f70af5c51198b3c0b0155c34125095d12e2a9b9da13e395,Will the Fed increase interest rates by 25 bps after their September meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,"[""Yes"", ""No""]","[""0.000001954127394194497933117711152507373"", ""0.9999980458726058055020668822888475""]",1331.207661,33.344244,true,true,2022-09-21 08:00:00+08,2022-07-29 00:15:07.657+08,2026-02-03 22:24:40.29205
will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,,,,,,1,1,67577.605372,103.612524,2022-11-02 08:00:00+08,2022-11-02 08:00:00+08,true,false,will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,247287,0xb6a679f45b3f61821bc0326a15114f9e5c9208650535b6f36a1e916880474ac4,Will the Fed increase interest rates by 50 bps after its November meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,"[""Yes"", ""No""]","[""0.0000007343337741428537358541103249177013"", ""0.9999992656662258571462641458896751""]",67577.605372,103.612524,true,true,2022-11-02 08:00:00+08,2022-09-17 01:43:09.567+08,2026-02-03 22:24:40.29205
will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,,,,,,1,1,31605.235862,104.335576,2022-11-02 08:00:00+08,2022-11-02 08:00:00+08,true,false,will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,247288,0x8fcf6358347279cc27e026b0b157301f555178231901f14ab11ff1f22c29d1b7,Will the Fed increase interest rates by 75 bps after its November meeting?,will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,"[""Yes"", ""No""]","[""0.9999973390120207877599188820745894"", ""0.000002660987979212240081117925410602516""]",31605.235862,104.335576,true,true,2022-11-02 08:00:00+08,2022-09-17 01:44:25.835+08,2026-02-03 22:24:40.29205
will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,,,,,,1,1,6572.699812,100.035027,2022-11-02 08:00:00+08,2022-11-02 08:00:00+08,true,false,will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,247289,0x33dde7615c372a79eb91b500f56cbdc08df8d28f27c8f1217897829fb2aef901,Will the Fed increase interest rates by 100 bps after its November meeting?,will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,"[""Yes"", ""No""]","[""0.000002455204557310681948844820352962685"", ""0.999997544795442689318051155179647""]",6572.699812,100.035027,true,true,2022-11-02 08:00:00+08,2022-09-17 01:45:41.964+08,2026-02-03 22:24:40.29205
