market_slug,condition_id,n_ctf_trade_rows,n_ctf_distinct_tokens,min_block_ctf,max_block_ctf,parent_event_id,parent_event_slug,parent_end_date_intended
will-the-fed-increase-interest-rates-by-0-bps-after-its-may-meeting,0xe83e0658c0c1cdfc4e2e4a82128307cc9b4c2cd0239c321f5a8f8a5ec38ae6b9,803,2,40719120,42264648,901497,fed-interest-rates-may-2023,2023-05-03T00:00:00Z
will-the-fed-increase-interest-rates-by-50-bps-after-its-may-meeting,0x50555c7f34fc16f03d84dd3c5f416506e53455515a8ca82c0fa90a2f8cacb5d3,87,2,40656018,42247078,901497,fed-interest-rates-may-2023,2023-05-03T00:00:00Z
will-the-fed-decrease-interest-rates-by-25-bps-after-its-may-meeting,0xfe19e1af4350a0bbed71a3805badb5b661c0598321d983b1f2e7066c7261a83d,62,2,40675400,41923511,901497,fed-interest-rates-may-2023,2023-05-03T00:00:00Z
will-the-fed-increase-interest-rates-by-0-bps-after-its-june-meeting,0xdcb247a07c561e4d960cd5bd9346bfcd205a9ae6557263b390e93f9e90ca56ee,1255,2,42278545,43910799,901796,fed-interest-rates-june-2023,2023-06-14T00:00:00Z
will-the-fed-increase-interest-rates-by-25-bps-after-its-june-meeting,0x814f5f4ed96cc3666fc05923f42bb1fd7f9c436dfc923d06a624904bbe0b05f8,697,2,42391964,43910031,901796,fed-interest-rates-june-2023,2023-06-14T00:00:00Z
will-the-fed-decrease-interest-rates-by-25-bps-after-its-june-meeting,0x2edbdabce90c3dfa1125836396c80762fa3bf09eaf5e611e4a2fd4a13ce81c25,43,2,42276203,43875973,901796,fed-interest-rates-june-2023,2023-06-14T00:00:00Z
will-the-fed-increase-interest-rates-by-50-bps-after-its-june-meeting,0x2d6ed33630ad4931ed6d9134b3addb84c7725564160d5888172ac366b2add59a,23,2,42265422,43711858,901796,fed-interest-rates-june-2023,2023-06-14T00:00:00Z
will-the-fed-raise-interest-rates-by-25-bps-after-its-july-meeting,0x5e9dcbf5748f0d4df34dc4795add11e59d529dbd08bd597966e8cb83a266565a,563,2,43928957,45548943,902049,fed-interest-rates-july-2023,2023-07-26T00:00:00Z
will-the-fed-raise-interest-rates-by-0-bps-after-its-july-meeting,0x692cf1efb4aeb95f38a02b2b06085fee7f0e531967e12b996d4a1efeb1d570cf,482,2,43895061,45550940,902049,fed-interest-rates-july-2023,2023-07-26T00:00:00Z
will-the-fed-decrease-interest-rates-by-25-bps-after-its-july-meeting,0x1e3afb4a670b4c28b8a2742ef61830023bb39809260af94908392cc7c9fdb7ca,96,2,43877213,45525648,902049,fed-interest-rates-july-2023,2023-07-26T00:00:00Z
will-the-fed-raise-interest-rates-by-0-bps-after-its-september-meeting,0x2fa329f505aafb81f53e1bb4b77548101e409784811206285ce36ad10151e9ab,397,2,45582932,47779381,902233,fed-interest-rates-september-2023,2023-09-20T00:00:00Z
will-the-fed-raise-interest-rates-by-25-bps-after-its-september-meeting,0xdc1940353bf7968dc9770d329754b5675c8c025e87a3a0feb7206453b6054bd6,332,2,45579028,47779017,902233,fed-interest-rates-september-2023,2023-09-20T00:00:00Z
will-the-fed-raise-interest-rates-by-0-bps-after-its-november-meeting-23,0xb3b8ce34ae09a3d89aa860f033a2309b28f4712b1879bc5c6f787df3788e5d1d,182,2,47843769,49379518,902512,fed-interest-rates-november-2023,2023-11-01T00:00:00Z
will-the-fed-raise-interest-rates-by-25-bps-after-its-november-meeting-23,0x0fb3a064027b95de36af33e6b88b9bbd56f9e80707fe828c542daa3bd38f9001,167,2,47785553,49379671,902512,fed-interest-rates-november-2023,2023-11-01T00:00:00Z
will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,0xac95a5009e493902628eaaa2138780fca5b5476825924ae7de023e8c65917662,107,2,49455833,51094643,902721,fed-interest-rates-december-2023,2023-12-13T00:00:00Z
will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,0x5d0c7869d6bbd5c926178c5ebb2c1ab1afa3e1b04bd036bcde5573481e3998c0,90,2,49068059,51093748,902721,fed-interest-rates-december-2023,2023-12-13T00:00:00Z
will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,0x0b7c6545b913133ccde713feb3599cae65325030bbe3e1bdf99943e5f5ef3464,125,2,50934386,52973519,903022,fed-interest-rates-january-2024,2024-01-31T00:00:00Z
will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,0x26000a18ec71be1c8dc92eeb52d274d561da9081bdae520968bb27f80ed453df,46,2,51010686,52971612,903022,fed-interest-rates-january-2024,2024-01-31T00:00:00Z
will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,24,2,52052101,52971753,903022,fed-interest-rates-january-2024,2024-01-31T00:00:00Z
no-change-in-fed-raise-interest-rates-after-its-2024-march-meeting,0xa1d06c273030c75b85ecfee08b2ff1f0e510c07f12152f81c707eb83deaab8ba,372,2,53006417,54897498,903377,fed-interest-rates-march-2024,2024-03-20T00:00:00Z
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-march-meeting,0xdf3b361f2617570e0abc10ece5e350a979c5e1e58ad5a2b5147e023ade4d9311,358,2,52978939,54884455,903377,fed-interest-rates-march-2024,2024-03-20T00:00:00Z
will-the-fed-decrease-interest-rates-by-50-bps-after-its-march-2024-meeting,0xd4a957e7b51fc2e74c4f1909583972011772eda01aada975251aeaffbbc73f56,285,2,53292532,54884465,903377,fed-interest-rates-march-2024,2024-03-20T00:00:00Z
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-march-meeting,0x70ee5e1d18a794f36d3c50b7215bd203e00f702d71fa0f0014466f98afe35a09,274,2,53006426,54897505,903377,fed-interest-rates-march-2024,2024-03-20T00:00:00Z
no-change-in-fed-raise-interest-rates-after-its-2024-aprilmay-meeting,0x23a9be32693bd427cce236d5af3e9f86aa38776e3ff4823faa7f51443d1a5647,297,2,55407675,56465521,10098,fed-interest-rates-may-2024,2024-05-01T12:00:00Z
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,0x7f7acaad0b6132ec2f72ba179eebca814865a2c598705381a8e8aa3acce5b0b5,259,2,55407699,56465876,10098,fed-interest-rates-may-2024,2024-05-01T12:00:00Z
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,0xf0d028fe7f2f078c4812151ba80cf390f8b39e5f8159b24b09833d7d20df9629,211,2,55412559,56465120,10098,fed-interest-rates-may-2024,2024-05-01T12:00:00Z
will-the-fed-decrease-interest-rates-by-50-bps-after-its-aprilmay-2024-meeting,0xe92b0c7d4a663200f4464e2547c468ba245e462289f88c7bae660feae8dd281a,160,2,55408595,56463756,10098,fed-interest-rates-may-2024,2024-05-01T12:00:00Z
fed-decreases-interest-rates-by-25-bps-after-june-2024-meeting,0x86797195cdde3c3a30e2b1b9503bc727fe787845228e9876ed9bc380aa021148,1263,2,56476262,58083535,10535,fed-interest-rates-june-2024,2024-06-12T12:00:00Z
fed-decreases-interest-rates-by-50-bps-after-june-2024-meeting,0x5df9458d9918da733d784bc2a07768b293d10826385a3eb31dd716f99475dc79,1174,2,56465881,58084618,10535,fed-interest-rates-june-2024,2024-06-12T12:00:00Z
no-change-in-fed-interest-rates-after-2024-june-meeting,0x67a072e839762191a7931e405923110d52343ef6dc1d61cfc0720233951c03e4,1102,2,56476267,58081778,10535,fed-interest-rates-june-2024,2024-06-12T12:00:00Z
fed-increases-interest-rates-by-25-bps-after-june-2024-meeting,0x4c21fdaee92538da1af2d227e7688673fe8789decff537003cd3b67b0ecb1b8d,854,2,56465877,58081749,10535,fed-interest-rates-june-2024,2024-06-12T12:00:00Z
fed-increases-interest-rates-by-25-bps-after-july-2024-meeting,0x6a98d5d6903279a133009d8dfaef73432a77758ff4a63c391921082820cbdef2,3617,2,58110626,60041227,11074,fed-interest-rates-july-2024,2024-07-31T12:00:00Z
