market_slug,condition_id,n_legacy_trade_rows,n_legacy_distinct_fpmm,min_block_legacy,max_block_legacy,parent_event_id,parent_event_slug,parent_end_date_intended
will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,0xcb4180f96da6ebecc518ae5a181dec9dea9b78d38112c66e4b0e5a53194cf197,1473,1,29609910,69949095,901489,fed-interest-rates-july-2022,2022-07-27T00:00:00Z
will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,0x9b6fb33000fc1ce2cfea7f7606458fa5de55cfa850f5a18c2bee4b5e97a41fb9,696,1,29571297,66177985,901489,fed-interest-rates-july-2022,2022-07-27T00:00:00Z
will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,0xb373ae00ee4f2b1617ebde91c2f2b7e69c5aa97a23d8a2744699e4f820f6091f,458,1,29401174,69957416,901489,fed-interest-rates-july-2022,2022-07-27T00:00:00Z
will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,0xb9ba5452e141e2ca056cc1e909d704273eba37dcde4eb70ae86f20a902eb3bef,2542,1,31214198,69957613,901490,fed-interest-rates-september-2022,2022-09-21T00:00:00Z
will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,0xfb88b22e70fabdf91c1020f752ea4da8d278d22ff6bc54058453626bdd513c6d,1257,1,31212073,33396952,901490,fed-interest-rates-september-2022,2022-09-21T00:00:00Z
will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,0x6bcfad376b0836cdeea187c8578328e17511dd0295f1b6afa0b2fed368a29839,815,1,31221087,33396936,901490,fed-interest-rates-september-2022,2022-09-21T00:00:00Z
will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,0x8137d425a84134010f70af5c51198b3c0b0155c34125095d12e2a9b9da13e395,158,1,31259590,33396942,901490,fed-interest-rates-september-2022,2022-09-21T00:00:00Z
will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,0xb6a679f45b3f61821bc0326a15114f9e5c9208650535b6f36a1e916880474ac4,867,1,33189163,69950818,901491,fed-interest-rates-november-2022,2022-11-02T00:00:00Z
will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,0x8fcf6358347279cc27e026b0b157301f555178231901f14ab11ff1f22c29d1b7,674,1,33189199,66178792,901491,fed-interest-rates-november-2022,2022-11-02T00:00:00Z
will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,0x33dde7615c372a79eb91b500f56cbdc08df8d28f27c8f1217897829fb2aef901,283,1,33189175,66178816,901491,fed-interest-rates-november-2022,2022-11-02T00:00:00Z
will-the-fed-increase-interest-rates-by-25-bps-after-its-november-meeting,0x52187ffb78a55a8939fe5fa4620e3bc9aef5eed4fa3cabb18df8933ae75189c8,100,1,33189162,66178767,901491,fed-interest-rates-november-2022,2022-11-02T00:00:00Z
will-the-fed-increase-interest-rates-by-50-bps-after-its-december-meeting,0x5b4ea1b3517675ca61989a0ad80bc0a24ddb8a927ade83bd8f4885102c09f402,843,1,34309251,48875188,901492,fed-interest-rates-december-2022,2022-12-14T00:00:00Z
will-the-fed-increase-interest-rates-by-75-bps-after-its-december-meeting,0xfc26103ed2d7668fa4534120dc2bcdd7bafde187ae394c5e0c0c08e341e4878a,607,1,34332821,48735255,901492,fed-interest-rates-december-2022,2022-12-14T00:00:00Z
will-the-fed-increase-interest-rates-by-25-bps-after-its-december-meeting,0x3f69fe47b662e18702bc763447f31d129719530a115c11bb6bcef84542a36d90,403,1,34306676,48727792,901492,fed-interest-rates-december-2022,2022-12-14T00:00:00Z
will-the-fed-increase-interest-rates-by-100-bps-after-its-december-meeting,0x8f520a87ba7fbddf5d701aa34817c5fabc944c91cc4c379118c05f368a762990,245,1,34307965,48755084,901492,fed-interest-rates-december-2022,2022-12-14T00:00:00Z
will-the-fed-increase-interest-rates-by-25-bps-after-its-february-meeting,0x5ef7d98e2b55953be12acc6aa5c13129bfef55a0e48b14ac0f479e08981f9bd1,234,1,36838760,69952327,901493,fed-interest-rates-february-2023,2023-02-01T00:00:00Z
will-the-fed-increase-interest-rates-by-50-bps-after-its-february-meeting,0x6a521500cd2c0494540dc059b3eb2f7fa5d2c91dc6f3756ba2aa7a3398aec42d,232,1,36838840,69952338,901493,fed-interest-rates-february-2023,2023-02-01T00:00:00Z
will-the-fed-increase-interest-rates-by-0-bps-after-its-february-meeting,0x9412b855478d1dc1ba433a18de8bd082dc22b0c3a30c01f307016c2a07c11572,151,1,36838864,38797200,901493,fed-interest-rates-february-2023,2023-02-01T00:00:00Z
will-the-fed-increase-interest-rates-by-75-bps-after-its-february-meeting,0xc420b0080de735a6d244f694bd8c5331cd48e007aa774f25551f3afc8efb8383,97,1,36838780,69952353,901493,fed-interest-rates-february-2023,2023-02-01T00:00:00Z
