Year,Month,Date
2026,January,27-28
,March,17-18*
,April,28-29
,June,16-17*
,July,28-29
,September,15-16*
,October,27-28
,December,8-9*
2025,January,28-29
,March,18-19*
,May,6-7
,June,17-18*
,July,29-30
,August (notation vote),22
,September,16-17*
,October,28-29
,December,9-10*
2024,January,30-31
,March,19-20*
,April/May,30-1
,June,11-12*
,July,30-31
,September,17-18*
,November,6-7
,December,17-18*
2023,Jan/Feb,31-1
,March,21-22*
,May,2-3
,June,13-14*
,July,25-26
,September,19-20*
,Oct/Nov,31-1
,December,12-13*
2022,January,25-26
,March,15-16*
,May,3-4
,June,14-15*
,July,26-27
,September,20-21*
,November,1-2
,December,13-14*
2021,January,26-27
,March,16-17*
,April,27-28
,June,15-16*
,July,27-28
,September,21-22*
,November,2-3
,December,14-15*
