value_date,sora_3m
2007-01-03,3.2889
2007-01-04,3.2886
2007-01-05,3.2913
2007-01-08,3.2914
2007-01-09,3.2904
2007-01-10,3.2886
2007-01-11,3.2847
2007-01-12,3.2746
2007-01-15,3.271
2007-01-16,3.2646
2007-01-17,3.2576
2007-01-18,3.2528
2007-01-19,3.2407
2007-01-22,3.2376
2007-01-23,3.2354
2007-01-24,3.2334
2007-01-25,3.231
2007-01-26,3.2177
2007-01-29,3.2136
2007-01-30,3.2095
2007-01-31,3.205
2007-02-01,3.2012
2007-02-02,3.1889
2007-02-05,3.185
2007-02-06,3.1819
2007-02-07,3.1795
2007-02-08,3.1768
2007-02-09,3.1733
2007-02-12,3.1728
2007-02-13,3.1717
2007-02-14,3.1708
2007-02-15,3.1707
2007-02-16,3.1606
2007-02-21,3.1593
2007-02-22,3.1586
2007-02-23,3.1566
2007-02-26,3.1544
2007-02-27,3.1495
2007-02-28,3.1456
2007-03-01,3.1448
2007-03-02,3.1403
2007-03-05,3.1357
2007-03-06,3.1265
2007-03-07,3.115
2007-03-08,3.1039
2007-03-09,3.0708
2007-03-12,3.0579
2007-03-13,3.0445
2007-03-14,3.0288
2007-03-15,3.0151
2007-03-16,3.0023
2007-03-19,2.9995
2007-03-20,2.9966
2007-03-21,2.993
2007-03-22,2.9891
2007-03-23,2.9811
2007-03-26,2.9766
2007-03-27,2.9688
2007-03-28,2.9552
2007-03-29,2.9446
2007-03-30,2.9207
2007-04-02,2.9104
2007-04-03,2.9041
2007-04-04,2.8968
2007-04-05,2.8743
2007-04-09,2.8679
2007-04-10,2.8591
2007-04-11,2.8498
2007-04-12,2.8406
2007-04-13,2.8137
2007-04-16,2.8067
2007-04-17,2.7963
2007-04-18,2.7828
2007-04-19,2.771
2007-04-20,2.7421
2007-04-23,2.7336
2007-04-24,2.7256
2007-04-25,2.7183
2007-04-26,2.7101
2007-04-27,2.6864
2007-04-30,2.6611
2007-05-02,2.6527
2007-05-03,2.6453
2007-05-04,2.6249
2007-05-07,2.6176
2007-05-08,2.6095
2007-05-09,2.6002
2007-05-10,2.5904
2007-05-11,2.5615
2007-05-14,2.5529
2007-05-15,2.5408
2007-05-16,2.5277
2007-05-17,2.5134
2007-05-18,2.4669
2007-05-21,2.4518
2007-05-22,2.437
2007-05-23,2.4267
2007-05-24,2.4157
2007-05-25,2.3889
2007-05-28,2.3852
2007-05-29,2.3814
2007-05-30,2.3771
2007-06-01,2.3538
2007-06-04,2.345
2007-06-05,2.3385
2007-06-06,2.336
2007-06-07,2.3358
2007-06-08,2.3359
2007-06-11,2.3365
2007-06-12,2.3403
2007-06-13,2.3457
2007-06-14,2.3514
2007-06-15,2.3377
2007-06-18,2.329
2007-06-19,2.319
2007-06-20,2.311
2007-06-21,2.3042
2007-06-22,2.2841
2007-06-25,2.2755
2007-06-26,2.2684
2007-06-27,2.2639
2007-06-28,2.2641
2007-06-29,2.2379
2007-07-02,2.2304
2007-07-03,2.2253
2007-07-04,2.2218
2007-07-05,2.2185
2007-07-06,2.2079
2007-07-09,2.2044
2007-07-10,2.2023
2007-07-11,2.2015
2007-07-12,2.2009
2007-07-13,2.1997
2007-07-16,2.1996
2007-07-17,2.2026
2007-07-18,2.2072
2007-07-19,2.2113
2007-07-20,2.2175
2007-07-23,2.217
2007-07-24,2.216
2007-07-25,2.2138
2007-07-26,2.2123
2007-07-27,2.2047
2007-07-30,2.2058
2007-07-31,2.2052
2007-08-01,2.2041
2007-08-02,2.205
2007-08-03,2.1999
2007-08-06,2.1975
2007-08-07,2.1953
2007-08-08,2.1937
2007-08-10,2.2016
2007-08-13,2.2042
2007-08-14,2.2051
2007-08-15,2.2088
2007-08-16,2.2171
2007-08-17,2.2428
2007-08-20,2.2507
2007-08-21,2.2564
2007-08-22,2.2599
2007-08-23,2.2593
2007-08-24,2.2631
2007-08-27,2.2644
2007-08-28,2.2662
2007-08-29,2.266
2007-08-30,2.2653
2007-08-31,2.2695
2007-09-03,2.273
2007-09-04,2.2748
2007-09-05,2.2774
2007-09-06,2.2814
2007-09-07,2.2907
2007-09-10,2.292
2007-09-11,2.2929
2007-09-12,2.2893
2007-09-13,2.2865
2007-09-14,2.2791
2007-09-17,2.2769
2007-09-18,2.2765
2007-09-19,2.2777
2007-09-20,2.2771
2007-09-21,2.2775
2007-09-24,2.2769
2007-09-25,2.2784
2007-09-26,2.2793
2007-09-27,2.2806
2007-09-28,2.2837
2007-10-01,2.2823
2007-10-02,2.2825
2007-10-03,2.282
2007-10-04,2.2805
2007-10-05,2.2736
2007-10-08,2.2719
2007-10-09,2.2713
2007-10-10,2.271
2007-10-11,2.2696
2007-10-12,2.2653
2007-10-15,2.2645
2007-10-16,2.2648
2007-10-17,2.2671
2007-10-18,2.2698
2007-10-19,2.2759
2007-10-22,2.2765
2007-10-23,2.2757
2007-10-24,2.2697
2007-10-25,2.2657
2007-10-26,2.26
2007-10-29,2.259
2007-10-30,2.2585
2007-10-31,2.2575
2007-11-01,2.2569
2007-11-02,2.2565
2007-11-05,2.2539
2007-11-06,2.2449
2007-11-07,2.2126
2007-11-09,2.1919
2007-11-12,2.187
2007-11-13,2.1809
2007-11-14,2.1741
2007-11-15,2.1668
2007-11-16,2.135
2007-11-19,2.1249
2007-11-20,2.1159
2007-11-21,2.1088
2007-11-22,2.1055
2007-11-23,2.0965
2007-11-26,2.0911
2007-11-27,2.084
2007-11-28,2.0736
2007-11-29,2.0625
2007-11-30,2.0178
2007-12-03,1.9989
2007-12-04,1.9817
2007-12-05,1.9625
2007-12-06,1.9455
2007-12-07,1.8972
2007-12-10,1.8818
2007-12-11,1.8669
2007-12-12,1.8566
2007-12-13,1.8479
2007-12-14,1.8324
2007-12-17,1.8267
2007-12-18,1.8145
2007-12-19,1.7793
2007-12-21,1.7285
2007-12-24,1.6942
2007-12-26,1.6777
2007-12-27,1.6597
2007-12-28,1.6103
2007-12-31,1.5836
2008-01-02,1.5713
2008-01-03,1.5584
