value_date,sora_level
2007-01-03,3.0602
2007-01-04,3.176
2007-01-05,3.1309
2007-01-08,3.0796
2007-01-09,3.0818
2007-01-10,3.2241
2007-01-11,3.2025
2007-01-12,3.1777
2007-01-15,3.123
2007-01-16,2.8919
2007-01-17,2.8838
2007-01-18,3.0431
2007-01-19,2.9863
2007-01-22,3.0306
2007-01-23,3.084
2007-01-24,3.1118
2007-01-25,3.126
2007-01-26,3.152
2007-01-29,3.2093
2007-01-30,3.2779
2007-01-31,3.2563
2007-02-01,3.2613
2007-02-02,3.1032
2007-02-05,3.0926
2007-02-06,3.0627
2007-02-07,3.113
2007-02-08,3.0988
2007-02-09,3.1381
2007-02-12,3.1577
2007-02-13,3.1204
2007-02-14,3.0267
2007-02-15,3.1373
2007-02-16,3.049
2007-02-21,3.0608
2007-02-22,3.0435
2007-02-23,3.0338
2007-02-26,2.9069
2007-02-27,2.6812
2007-02-28,2.5499
2007-03-01,3.0194
2007-03-02,2.939
2007-03-05,2.5913
2007-03-06,2.2221
2007-03-07,2.1052
2007-03-08,2.166
2007-03-09,2.1599
2007-03-12,1.9337
2007-03-13,1.8311
2007-03-14,1.7856
2007-03-15,2.1592
2007-03-16,2.9822
2007-03-19,2.9073
2007-03-20,2.8607
2007-03-21,2.8037
2007-03-22,2.7645
2007-03-23,2.8836
2007-03-26,2.762
2007-03-27,2.5527
2007-03-28,2.1647
2007-03-29,2.6342
2007-03-30,2.8716
2007-04-02,2.6613
2007-04-03,2.4997
2007-04-04,2.5277
2007-04-05,2.6139
2007-04-09,2.5086
2007-04-10,2.4436
2007-04-11,2.3665
2007-04-12,2.3591
2007-04-13,2.357
2007-04-16,2.2662
2007-04-17,1.9588
2007-04-18,1.8341
2007-04-19,1.9273
2007-04-20,2.1414
2007-04-23,2.3186
2007-04-24,2.3961
2007-04-25,2.4809
2007-04-26,2.4171
2007-04-27,2.4655
2007-04-30,2.4424
2007-05-02,2.3597
2007-05-03,2.449
2007-05-04,2.4855
2007-05-07,2.4653
2007-05-08,2.3795
2007-05-09,2.3196
2007-05-10,2.2705
2007-05-11,2.2867
2007-05-14,2.2681
2007-05-15,2.0605
2007-05-16,1.8918
2007-05-17,1.7838
2007-05-18,1.678
2007-05-21,1.7226
2007-05-22,1.7402
2007-05-23,2.1162
2007-05-24,2.0583
2007-05-25,2.0834
2007-05-28,2.0469
2007-05-29,2.0274
2007-05-30,2.2641
2007-06-01,2.255
2007-06-04,2.1302
2007-06-05,1.9952
2007-06-06,1.9957
2007-06-07,2.084
2007-06-08,2.165
2007-06-11,2.2162
2007-06-12,2.2861
2007-06-13,2.3197
2007-06-14,2.3064
2007-06-15,2.2924
2007-06-18,2.186
2007-06-19,1.9854
2007-06-20,2.1375
2007-06-21,2.1806
2007-06-22,2.2298
2007-06-25,2.0947
2007-06-26,2.1118
2007-06-27,2.1446
2007-06-28,2.1816
2007-06-29,2.2101
2007-07-02,1.9793
2007-07-03,2.0388
2007-07-04,2.2126
2007-07-05,2.3106
2007-07-06,2.2938
2007-07-09,2.1919
2007-07-10,2.2572
2007-07-11,2.2887
2007-07-12,2.3078
2007-07-13,2.3202
2007-07-16,2.2559
2007-07-17,2.2333
2007-07-18,2.2501
2007-07-19,2.2984
2007-07-20,2.3288
2007-07-23,2.2772
2007-07-24,2.3005
2007-07-25,2.282
2007-07-26,2.2846
2007-07-27,2.2366
2007-07-30,2.29
2007-07-31,2.3892
2007-08-01,2.343
2007-08-02,2.4408
2007-08-03,2.3161
2007-08-06,2.2727
2007-08-07,2.2587
2007-08-08,2.2758
2007-08-10,2.5239
2007-08-13,2.5215
2007-08-14,2.354
2007-08-15,2.4013
2007-08-16,2.6478
2007-08-17,2.4979
2007-08-20,2.399
2007-08-21,2.2458
2007-08-22,2.0558
2007-08-23,2.0633
2007-08-24,2.1913
2007-08-27,2.2027
2007-08-28,2.2132
2007-08-29,2.009
2007-08-30,2.1954
